Countries and areas,Low birthweight     (%) U 2011-2016*,Early initiation of breastfeeding (%) 2011-2016*,Exclusive breastfeeding <6 months  (%) 2011-2016*,"Introduction to solid, semi-solid or soft foods 6-8 months (%) 2011-2016*",Minimum acceptable diet 6-23 months (%) 2011-2016*,Breastfeeding at age 2 (%) 2011-2016*,Stunting (%) moderate & severe 2011-2016*,Overweight (%) moderate & severe2011-2016*,Wasting (%) moderate & severe 2011-2016*,Wasting (%) severe 2011-2016*,"Vitamin A supplementation, full coverageΔ (%) 2015",Households consuming salt with iodine (%) 20112016*,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Lesotho,11,65,67,83,11,30,33,7,3,1,,85,129,109
Liberia,14,61,55,46,4,44,32,3,6,2,61,91,,103
Libya,,,,,,,21,22,7,3,,,,108
Liechtenstein,,,,,,,,,,,,,,
Lithuania,5,,,,,,,,,,,,100,115
Luxembourg,7,,,,,,,,,,,,103,106
Madagascar,16,66,42,90,,83,49,6,15,6,97,68,105,105
Malawi,14,76,61,89,8,72,37,5,3,1,16,78,102,109
Malaysia,11,,,,,,18,7,8,,,,101,106
Maldives,11,64,48,91,,68,20,7,10,3,79,,106,103
Mali,18,53,33,42,3,53,30,2,14,3,88,81,94,102
Malta,7,,,,,,,,,,,,104,104
Marshall Islands,18,73,31,,,53,,,,,,,,
Mauritania,35,62,41,66,,40,28,1,15,4,83,24,98,105
Mauritius,14,,21,,,,,,,,,,99,110
Mexico,9,51,31,82,53,24,12,5,1,0,,,102,107
Micronesia (Federated States of),11,,,,,,,,,,,,,103
Monaco,6,,,,,,,,,,,,,
Mongolia,5,71,47,95,35,53,11,11,1,0,38,80,,113
Montenegro,5,14,17,95,66,9,9,22,3,1,,,102,106
Montserrat,,,,,,,,,,,,,,
Morocco,15,30,28,86,,25,15,11,2,1,,,96,103
Mozambique,17,69,41,95,11,52,43,8,6,2,99,43,94,108
Myanmar,9,67,51,75,16,64,29,1,7,1,88,81,,107
Namibia,16,71,49,80,13,21,23,4,7,3,,74,104,109
Nauru,27,76,67,,,65,24,3,1,0,,,,
Nepal,18,55,66,84,32,89,36,1,10,2,79,94,104,105
Netherlands,6,,,,,,,,,,,,,105
New Zealand,6,,,,,,,,,,,,,104
Nicaragua,8,68,32,,,43,23,6,2,1,3,,,108
Niger,27,53,23,,6,50,42,3,10,2,99,59,104,103
