Countries and areas,Child labour (%)+  total,Child labour (%)+  male,Child labour (%)+ female,Child marriage (%) married by 15,Child marriage (%) married by 18,Birth registration (%),Female genital mutilation/cutting (%) prevalence women,Female genital mutilation/cutting (%) prevalence girls,Female genital mutilation/cutting (%) support for the practice,Justification of wife-beating (%) male,Justification of wife-beating (%) female,Violent discipline (%) total,Violent discipline (%) male,Violent discipline (%) female,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Lesotho,23,25,21,1,17,43,,,,40,33,,,,129,109
Liberia,21,21,21,9,36,25,50,,39,24,43,90,90,90,,103
Libya,,,,,,,,,,,,,,,,108
Liechtenstein,,,,,,100,,,,,,,,,,
Lithuania,,,,,,100,,,,,,,,,100,115
Luxembourg,,,,,,100,,,,,,,,,103,106
Madagascar,23,23,23,12,41,83,,,,46,45,,,,105,105
Malawi,39,42,37,9,42,67,,,,13,16,72,73,72,102,109
Malaysia,,,,,,,,,,,,71,74,67,101,106
Maldives,,,,0,4,93,,,,14,31,,,,106,103
Mali,56,59,52,17,52,87,83,76,75,51,73,73,73,73,94,102
Malta,,,,,,100,,,,,,,,,104,104
Marshall Islands,,,,6,26,96,,,,58,56,,,,,
Mauritania,38,,,14,34,66,67,53,36,21,27,80,,,98,105
Mauritius,,,,,,,,,,,,,,,99,110
Mexico,12,16,9,4,26,95,,,,,5,63,63,63,102,107
Micronesia (Federated States of),,,,,,,,,,,,,,,,103
Monaco,,,,,,100,,,,,,,,,,
Mongolia,17,19,15,0,5,99,,,,9,10,49,52,46,,113
Montenegro,13,15,10,1,5,99,,,,5,3,69,73,66,102,106
Montserrat,,,,,,,,,,,,,,,,
Morocco,8,9,8,3,16,94,,,,,64,91,92,90,96,103
Mozambique,22,21,24,14,48,48,,,,20,23,,,,94,108
Myanmar,9,10,9,2,16,81,,,,49,51,77,80,75,,107
Namibia,,,,2,7,87,,,,22,28,,,,104,109
Nauru,,,,2,27,83,,,,,,,,,,
Nepal,37,37,38,10,37,58,,,,,43,82,83,81,104,105
Netherlands,,,,,,100,,,,,,,,,,105
New Zealand,,,,,,100,,,,,,,,,,104
Nicaragua,15,18,11,10,41,85,,,,,14,,,,,108
Niger,31,31,30,28,76,64,2,2,6,27,60,82,82,81,104,103
Nigeria,25,24,25,17,43,30,25,17,23,25,35,91,91,90,,103
Niue,,,,,,,,,,,,,,,,
Norway,,,,,,100,,,,,,,,,100,105
Oman,,,,,,,,,,,8,,,,101,106
Pakistan,,,,3,21,34,,,,32,42,,,,99,103
Palau,,,,,,,,,,,,,,,,
Panama,3,4,1,7,26,96,,,,,6,45,47,43,102,108
Papua New Guinea,,,,2,21,,,,,,,,,,,108
Paraguay,28,32,24,2,18,85,,,,,,,,,104,106
Peru,22,24,19,3,22,98,,,,,,,,,103,107
Philippines,11,14,8,2,15,90,,,,,13,,,,,110
Poland,,,,,,100,,,,,,,,,100,111
Portugal,3,4,3,,,100,,,,,,,,,,108
Qatar,,,,0,4,100,,,,16,7,50,53,46,97,103
Republic of Korea,,,,,,,,,,,,,,,100,108
Republic of Moldova,16,20,12,0,12,100,,,,13,11,76,77,74,100,113
Romania,1,1,1,,,,,,,,,,,,100,110
Russian Federation,,,,,,100,,,,,,,,,101,117
Rwanda,29,27,30,0,7,56,,,,18,41,,,,118,107
Saint Kitts and Nevis,,,,,,,,,,,,,,,98,
Saint Lucia,4,5,3,1,8,92,,,,,7,68,71,64,100,107
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,106
Samoa,,,,1,11,59,,,,30,37,,,,97,109
San Marino,,,,,,100,,,,,,,,,103,
Sao Tome and Principe,26,25,28,8,35,95,,,,14,19,80,80,79,,107
Saudi Arabia,,,,,,,,,,,,,,,,104
Senegal,23,29,17,9,31,68,24,15,19,25,57,,,,108,106
Serbia,10,12,7,0,3,99,,,,,4,43,44,42,97,108
Seychelles,,,,,,,,,,,,,,,,113
Sierra Leone,37,38,37,13,39,77,90,31,69,34,63,82,81,82,101,102
Singapore,,,,,,,,,,,,,,,,105
Slovakia,,,,,,100,,,,,,,,,101,110
Slovenia,,,,,,100,,,,,,,,,100,107
Solomon Islands,48,47,49,6,21,88,,,,57,77,86,86,85,114,104
Somalia,49,45,54,8,45,3,98,46,65,,76,,,,,106
South Africa,,,,1,6,85,,,,,,,,,,112
South Sudan,,,,9,52,35,,,,,79,,,,,104
Spain,,,,,,100,,,,,,,,,100,107
Sri Lanka,1,1,1,2,12,97,,,,,53,,,,100,109
State of Palestine,6,7,4,1,15,99,,,,,,92,93,92,105,105
Sudan,25,28,22,12,34,67,87,32,41,,34,64,65,63,99,105
Suriname,4,4,4,5,19,99,,,,,13,86,87,85,115,109
Swaziland,7,8,7,1,5,54,,,,17,20,88,89,88,107,112
Sweden,,,,,,100,,,,,,,,,100,104
Switzerland,,,,,,100,,,,,,,,,,105
Syrian Arab Republic,4,5,3,3,13,96,,,,,,89,90,88,101,120
Tajikistan,10,9,11,0,12,88,,,,,60,78,80,75,101,109
Thailand,8,8,8,4,23,100,,,,9,9,75,77,73,,111
The former Yugoslav Republic of Macedonia,13,12,13,1,7,100,,,,,15,69,71,67,99,105
Timor-Leste,4,4,4,3,19,55,,,,81,86,,,,103,105
Togo,28,29,27,6,22,78,5,0,1,18,29,81,81,80,96,103
Tokelau,,,,,,,,,,,,,,,,
Tonga,,,,0,6,93,,,,21,29,,,,,109
Trinidad and Tobago,1,1,1,2,8,97,,,,,8,77,78,77,,110
