Countries and areas,"HIV incidence per 1,000 uninfected population All ages","HIV incidence per 1,000 uninfected population children <5","HIV incidence per 1,000 uninfected population adolescents 1519",People living with HIV All ages,People living with HIV children <15,People living with HIV adolescents 1019,New HIV infections All ages,New HIV infections children <5,New HIV infections adolescents 1519,AIDSrelated deaths All ages,AIDSrelated deaths children <15,AIDSrelated deaths adolescents 1019,"Pregnant women reciving ARVs for PMTCT (%)
2016*",People living with HIV receiving antiretroviral therapy (ART) (%) All ages,People living with HIV receiving antiretroviral therapy (ART) (%) children <15,People living with HIV receiving antiretroviral therapy (ART) (%) adolescents 1019,Condom use among adolescents with multiple partners (%) male,Condom use among adolescents with multiple partners (%) female,Adolescents tested for HIV in the last 12 months and received results (%) male,Adolescents tested for HIV in the last 12 months and received results (%) female,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Denmark,,,,,,,,,,,,,,,,,,,,,100,105
Djibouti,0.58,0.68,0.40,"8,600","<1,000","<1,000",<500,<100,<100,"<1,000",<100,<100,35,26,9,10,,,,,88,105
Dominica,,,,,,,,,,,,,,,,,74,86,,,95,
Dominican Republic,0.24,0.07,0.52,"67,000","1,700","3,100","2,500",<100,<500,"2,200",<100,<100,83,46,45,30,,40,,11,105,109
Ecuador,,,,"33,000",<500,"1,400","1,900",<100,,"<1,000",<100,<100,>95,52,>95,,,,,,102,107
Egypt,0.02,<0.01,0.04,"11,000",<500,"<1,000","1,600",<100,<500,<500,<100,<100,18,27,38,,,,,,,106
El Salvador,0.16,0.09,0.31,"24,000",<500,"<1,000","<1,000",<100,<200,"<1,000",<100,<100,44,48,50,,,31,8,8,105,113
Equatorial Guinea,2.71,1.35,2.36,"35,000","2,400","1,300","2,300",<200,<200,"<1,000",<200,<100,90,43,16,,31,17,7,27,100,105
Eritrea,0.15,0.22,0.11,"15,000","1,500","1,300","<1,000",<200,<100,"<1,000",<200,<100,37,59,34,,,,,,103,107
Estonia,,,,,,,,,,,,,,,,,,,,,101,113
Ethiopia,0.33,0.26,0.23,"710,000","62,000","67,000","30,000","3,800","2,700","20,000","2,900","2,500",69,59,35,,57,,9,12,105,106
Fiji,,,,"<1,000",,,<200,,,<100,,,,32,,,,,,,98,109
Finland,,,,,,,,,,,,,,,,,,,,,100,107
France,0.09,0.01,0.25,"180,000",<500,"2,800","6,000",<100,"<1,000","<1,000",<100,<100,>95,78,>95,,,,,,,108
Gabon,0.92,0.95,1.57,"48,000","3,700","2,900","1,700",<500,<500,"1,500",<500,<100,76,63,39,61,77,58,6,20,,105
Gambia,0.65,0.47,0.23,"20,000","1,600","<1,000","1,300",<200,<100,"1,100",<200,<100,69,30,33,,,,2,6,106,104
Georgia,0.28,0.06,0.15,"12,000",<100,<100,"1,100",<100,<100,<500,<100,<100,46,32,50,62,,,,2,100,112
Germany,,,,,,,,,,,,,,,,,,,,,100,106
Ghana,0.78,0.79,0.83,"290,000","32,000","23,000","20,000","3,000","2,200","15,000","2,500","1,100",56,34,15,,,22,1,5,97,103
Greece,,,,,,,,,,,,,,,,,,,,,100,107
Grenada,,,,,,,,,,,,,,,,,80,92,,,,107
Guatemala,0.18,0.15,0.35,"46,000","1,800","2,300","2,900",<500,"<1,000","1,600",<200,<100,19,36,42,25,66,38,2,5,99,109
Guinea,0.67,0.68,1.08,"120,000","10,000","8,700","8,300","1,300","1,400","5,800","<1,000",<500,43,35,18,,46,30,1,3,97,102
GuineaBissau,0.72,0.72,0.56,"36,000","4,200","2,100","1,300",<500,<200,"2,000",<500,<200,85,33,15,,60,41,2,5,,106
Guyana,0.77,0.32,1.62,"8,500",<500,"<1,000","<1,000",<100,<200,<200,<100,<100,66,58,69,,83,,10,16,105,107
Haiti,0.77,0.50,0.59,"150,000","7,200","6,200","7,900","<1,000","<1,000","4,600",<500,<200,71,55,49,53,58,42,4,9,,107
Holy See,,,,,,,,,,,,,,,,,,,,,,
Honduras,0.11,0.05,0.21,"21,000","<1,000","1,300","<1,000",<100,<200,"<1,000",<100,<100,54,51,69,60,73,39,3,10,110,107
Hungary,,,,,,,,,,,,,,,,,,,,,100,110
Iceland,,,,,,,,,,,,,,,,,,,,,102,104
India,0.06,,,"2,100,000","130,000","130,000","80,000","9,100","16,000","62,000","7,000","3,100",41,49,33,,39,,0,1,99,105
Indonesia,0.19,0.13,0.29,"620,000","14,000","17,000","48,000","3,200","6,300","38,000","1,900",<500,14,13,21,,,,,,,106
Iran (Islamic Republic of),0.06,0.01,0.03,"66,000","1,000","<1,000","5,000",<100,<200,"4,000",<100,<100,51,14,28,19,,,,,99,103
Iraq,,,,,,,,,,,,,,,,,,,,0,,107
Ireland,0.06,<0.01,0.03,"6,200",<100,<100,<500,<100,<100,,,,>95,77,>95,,,,,,,105
Israel,,,,,,,,,,,,,,,,,,,,,98,104
Italy,0.06,0.02,0.04,"130,000","<1,000",<500,"3,600",<100,<200,,,,58,80,94,,,,,,100,106
Jamaica,,,,"30,000",<500,"1,300","1,700",<100,,"1,300",<100,<100,>95,35,>95,,75,56,20,35,103,107
Japan,,,,,,,,,,,,,,,,,,,,,100,108
Jordan,<0.01,<0.01,0.01,<500,,,<100,,<100,<100,,,,55,,,,,,,,105
Kazakhstan,0.16,0.03,0.08,"26,000",<500,<500,"2,900",<100,<100,"<1,000",<100,<100,87,31,89,>95,94,,,11,101,115
Kenya,1.46,0.87,2.69,"1,600,000","120,000","140,000","62,000","6,100","14,000","36,000","4,800","3,300",80,64,65,,64,26,27,35,,108
Kiribati,,,,,,,,,,,,,,,,,29,,,,,110
Kuwait,0.02,0.01,0.03,<500,,,<100,,<100,<100,,,,80,,,,,,,101,103
Kyrgyzstan,0.13,0.02,0.07,"8,500",<200,<200,"<1,000",<100,<100,<500,<100,<100,,28,88,>95,,,,11,100,112
Lao People's Democratic Republic,0.10,0.10,0.10,"11,000","<1,000",<500,"<1,000",<100,<100,<500,<100,<100,50,41,34,,,,1,1,104,105
Latvia,0.23,0.02,0.63,"6,600",<100,<200,<500,<100,<100,<500,<100,<100,>95,26,93,,,,,,100,114
Lebanon,0.02,0.02,0.05,"2,200",,,<200,,<100,<100,,,,51,,,,,,,108,105
Lesotho,12.68,7.57,13.73,"330,000",,,"21,000",,"2,900","9,900",,,66,53,,,80,58,25,41,129,109
Liberia,0.66,0.47,1.49,"43,000","4,200","5,000","2,900",<500,"<1,000","2,800",<500,<500,70,19,11,,22,27,4,13,,103
Libya,,,,,,,,,,,,,,,,,,,,,,108
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,
Lithuania,0.09,<0.01,0.05,"2,900",,,<500,,<100,<200,,,,23,,,,,,,100,115
Luxembourg,0.18,0.03,0.40,,,,<200,<100,<100,<100,<100,<100,56,,,,,,,,103,106
Madagascar,0.18,0.09,0.37,"31,000","1,900","3,200","4,300",<500,"<1,000","1,600",<500,<100,3,5,2,52,5,6,1,2,105,105
Malawi,2.29,1.61,2.58,"1,000,000","110,000","90,000","36,000","4,300","4,800","24,000","4,100","3,200",84,66,49,,59,44,22,32,102,109
Malaysia,0.19,0.01,0.07,"97,000",<500,"<1,000","5,700",<100,<200,"7,000",<100,<100,73,37,>95,71,,,,,101,106
Maldives,,,,,,,,,,,,,,,,,,,,,106,103
Mali,0.33,0.51,0.62,"110,000","14,000","9,900","5,900","1,600","1,200","6,100","<1,000",<500,35,35,21,7,47,26,1,8,94,102
Malta,,,,<500,,,<100,,,<100,,,,75,,,,,,,104,104
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,"11,000","<1,000","<1,000",<500,<100,,"<1,000",<100,<100,34,23,23,15,,,,,98,105
Mauritius,,,,,,,,,,,,,,,,,,,,,99,110
Mexico,0.10,0.02,0.19,"220,000","2,500","7,200","12,000",<500,"2,200","4,200",<200,<100,58,60,74,28,,36,,7,102,107
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,103
Monaco,,,,,,,,,,,,,,,,,,,,,,
Mongolia,0.01,<0.01,0.02,<500,,,<100,,<100,<100,,,,33,,,78,,,,,113
Montenegro,0.11,0.05,0.30,<500,,,<100,,<100,<100,,,,60,,,64,,<0.1,0,102,106
Montserrat,,,,,,,,,,,,,,,,,,,,,,
Morocco,0.03,0.01,0.06,"22,000",<500,"<1,000","<1,000",<100,<200,"<1,000",<100,<100,62,48,>95,,,,,,96,103
Mozambique,3.63,2.77,3.03,"1,800,000","200,000","120,000","83,000","13,000","9,000","62,000","9,200","4,400",80,54,38,,39,43,10,25,94,108
Myanmar,0.22,0.12,0.49,"230,000","9,300","11,000","11,000","<1,000","2,300","7,800",<500,<200,87,55,78,,,,2,1,,107
Namibia,4.37,1.32,5.31,"230,000","15,000","13,000","9,600",<500,"1,300","4,300",<500,<500,>95,64,66,,75,61,14,29,104,109
Nauru,,,,,,,,,,,,,,,,,,,,,,
Nepal,0.03,0.02,0.02,"32,000","1,200","<1,000","<1,000",<100,<100,"1,700",<100,<100,64,40,83,,,,3,3,104,105
Netherlands,0.03,<0.01,0.07,"23,000",<100,<500,<500,<100,<100,<200,<100,<100,>95,80,>95,,,,,,,105
New Zealand,,,,,,,,,,,,,,,,,,,,,,104
Nicaragua,0.06,0.01,0.13,"8,900",<200,<500,<500,<100,<100,<500,<100,<100,>95,43,71,33,,,,,,108
Niger,0.09,0.13,0.18,"48,000","5,800","4,400","1,800","<1,000",<500,"3,400",<500,<500,52,32,17,14,,,2,4,104,103
Nigeria,1.23,1.19,2.18,"3,200,000","270,000","240,000","220,000","37,000","40,000","160,000","24,000","7,900",32,30,21,,46,38,2,4,,103
Niue,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,100,105
Oman,,,,,,,,,,,,,,,,,,,,,101,106
