Countries and areas,Youth (1524 years) literacy rate (%) male,Youth (1524 years) literacy rate (%) female,Number per 100 population  mobile phones,Number per 100 population  internet users,Pre-primary school participation (%) male,Pre-primary school participation (%) female,Primary school participation Gross enrollment ratio (%) male,Primary school participation Gross enrollment ratio (%) female,Primary school participation Net enrollment ratio (%) male,Primary school participation Net enrollment ratio (%) female,Primary school participation Net attendance ratio (%) male,Primary school participation Net attendance ratio (%) female,Survival rate to last primary grade (%) male,Survival rate to last primary grade (%)  female,Lower secondary school participation Net enrollment ratio (%) male,Lower secondary school participation Net enrollment ratio (%) female,Lower secondary school participation Net attendance ratio (%) male,Lower secondary school participation Net attendance ratio (%) female,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Ghana,88,83,139,35,117,119,107,110,87,88,70,70,85,82,50,50,33,35,97,103
Greece,99,99,113,69,49,49,98,97,97,96,,,92,92,95,94,,,100,107
Grenada,,,111,56,89,83,107,103,96,95,,,,,79,82,,,,107
Guatemala,95,93,115,35,44,45,104,100,86,85,94,93,75,74,47,46,54,50,99,109
Guinea,57,37,85,10,15,15,99,84,81,70,63,58,67,65,35,24,32,26,97,102
Guinea-Bissau,71,50,70,4,,,,,,,62,62,,,,,10,9,,106
Guyana,96,97,66,36,95,93,87,84,83,80,97,97,90,95,77,75,92,95,105,107
Haiti,74,70,61,12,,,,,,,83,84,,,,,19,26,,107
Holy See,,,,,,,,,,,,,,,,,,,,
Honduras,95,97,91,30,45,47,111,110,92,94,95,92,74,82,43,50,48,57,110,107
Hungary,,,119,79,80,78,102,101,91,90,,,98,98,90,89,,,100,110
Iceland,,,118,98,97,97,100,99,100,99,,,97,99,96,98,,,102,104
India,90,82,87,30,13,12,103,115,92,93,85,82,82,81,64,69,,,99,105
Indonesia,100,100,149,25,57,59,107,104,90,89,99,99,,,74,79,85,89,,106
Iran (Islamic Republic of),98,98,100,53,51,50,106,112,,,96,97,98,97,90,92,,,99,103
Iraq,57,49,82,21,,,,,,,93,87,,,,,51,47,,107
Ireland,,,104,82,95,99,101,102,94,95,,,,,,,,,,105
Israel,,,132,80,111,111,104,105,97,98,,,100,98,,,,,98,104
Italy,100,100,140,61,100,97,101,101,98,97,,,99,99,,,,,100,106
Jamaica,,,116,45,96,103,,,,,97,99,93,96,68,78,92,92,103,107
Japan,,,130,92,,,101,101,100,100,,,100,100,,,,,100,108
Jordan,99,99,196,62,33,32,97,98,89,89,98,98,,,82,83,92,94,,105
Kazakhstan,100,100,150,77,59,60,109,111,88,87,100,100,99,99,,,99,100,101,115
Kenya,87,86,81,26,77,76,109,109,83,87,84,87,,,,,38,46,,108
Kiribati,,,51,14,,,103,106,,,83,87,,,68,88,,,,110
Kuwait,99,99,147,78,82,80,102,103,93,93,,,95,96,81,88,,,101,103
Kyrgyzstan,100,100,131,35,28,28,108,107,90,88,99,99,96,97,88,87,98,98,100,112
Lao People's Democratic Republic,77,67,55,22,35,36,114,109,93,92,85,85,77,80,55,57,40,44,104,105
Latvia,100,100,131,80,89,88,100,99,96,96,,,95,95,,,,,100,114
Lebanon,99,99,96,76,80,75,97,88,85,79,98,98,87,94,67,67,,,108,105
Lesotho,80,94,107,27,33,35,107,104,79,82,90,94,57,74,22,39,20,37,129,109
Liberia,63,37,83,7,159,153,99,89,39,36,42,43,,,7,6,14,15,,103
Libya,,,120,20,,,,,,,,,,,,,,,,108
Liechtenstein,,,116,98,102,106,106,105,91,90,,,,,90,84,,,,
Lithuania,100,100,141,74,92,91,103,104,98,98,,,98,98,97,96,,,100,115
Luxembourg,,,148,97,94,93,97,97,93,93,,,82,84,83,87,,,103,106
Madagascar,78,75,42,5,17,19,149,149,,,68,71,41,44,28,31,22,25,105,105
Malawi,72,73,40,10,81,82,144,147,,,93,95,54,55,29,30,25,31,102,109
Malaysia,98,98,141,79,92,96,102,102,98,98,,,92,92,85,89,,,101,106
Maldives,99,99,223,59,101,102,97,,94,96,94,95,80,84,70,67,64,78,106,103
Mali,61,39,120,11,4,4,79,72,59,52,55,51,64,59,33,28,34,26,94,102
Malta,98,99,125,77,109,113,102,105,97,100,,,95,98,96,96,,,104,104
Marshall Islands,98,99,29,30,40,41,93,93,75,79,,,,,58,64,,,,
Mauritania,66,48,87,18,9,12,100,105,77,81,58,62,65,63,22,21,21,20,98,105
Mauritius,98,99,144,53,103,105,102,104,95,97,,,96,96,82,86,,,99,110
Mexico,99,99,88,60,68,70,104,103,95,95,98,98,95,96,79,82,86,89,102,107
Micronesia (Federated States of),,,22,33,34,32,95,96,83,85,,,,,49,56,,,,103
Monaco,,,86,95,,,,,,,,,,,,,,,,
Mongolia,98,99,114,22,85,86,102,100,97,96,98,99,,,,,91,95,,113
Montenegro,99,99,167,70,57,54,95,93,93,92,98,98,80,81,93,93,93,96,102,106
Montserrat,,,97,55,,,,,,,,,,,,,,,,
Morocco,95,88,121,58,63,51,118,112,99,98,91,88,91,87,62,63,,,96,103
Mozambique,80,57,66,18,,,110,101,91,87,71,72,34,32,17,19,15,17,94,108
Myanmar,85,84,89,25,23,24,101,98,,,93,92,,,53,52,67,71,,107
Namibia,93,95,109,31,21,22,113,110,88,91,92,93,89,92,41,55,54,67,104,109
Nauru,,,97,54,85,96,110,100,88,84,97,98,,,66,71,,,,
Nepal,90,80,112,20,85,83,131,141,97,97,76,76,75,78,55,53,42,46,104,105
Netherlands,,,130,90,95,97,105,104,98,99,,,,,,,,,,105
New Zealand,,,125,88,93,93,100,99,99,99,,,,,97,98,,,,104
Nicaragua,85,89,122,25,,,,,,,71,70,,,,,,,,108
Niger,35,15,49,4,7,8,78,67,67,57,55,46,63,66,23,16,21,17,104,103
Nigeria,76,58,82,26,,,94,93,,,70,66,,,,,50,49,,103
Niue,,,38,80,113,125,147,120,,,100,100,,,,,,,,
Norway,,,110,97,97,98,101,100,100,100,,,99,100,99,99,,,100,105
Oman,99,99,159,70,55,56,107,111,95,94,97,98,98,99,81,86,,,101,106
Pakistan,80,66,71,16,77,67,100,85,79,68,67,60,64,64,58,48,36,34,99,103
Palau,98,99,91,,71,77,100,112,74,87,,,,,33,38,,,,
Panama,98,97,172,54,48,49,104,101,94,93,97,97,85,87,71,74,78,86,102,108
Papua New Guinea,69,64,49,10,,,120,109,89,83,,,,,17,14,,,,108
Paraguay,98,99,105,51,38,38,108,104,89,88,90,91,83,86,58,63,,,104,106
Peru,99,99,117,45,88,89,102,102,94,94,92,91,89,92,71,72,85,87,103,107
Philippines,97,99,109,56,,,117,117,94,98,88,89,,,58,70,,,,110
Poland,,,146,73,79,79,100,101,96,96,,,98,98,93,94,,,100,111
Portugal,99,99,109,70,94,93,109,105,98,98,,,,,,,,,,108
Qatar,98,100,147,94,58,60,102,104,92,93,96,97,99,96,76,83,,,97,103
Republic of Korea,,,123,93,94,94,99,99,98,98,,,99,100,98,97,,,100,108
Republic of Moldova,99,100,111,71,84,83,93,92,87,86,99,98,95,95,83,82,96,97,100,113
Romania,99,99,106,60,91,91,91,89,87,87,92,91,94,94,84,83,90,90,100,110
Russian Federation,100,100,163,76,88,86,100,101,96,97,,,99,100,97,98,,,101,117
Rwanda,81,83,70,20,18,18,132,133,94,96,93,96,41,48,19,24,25,34,118,107
Saint Kitts and Nevis,,,137,77,91,81,82,83,77,80,,,96,95,80,82,,,98,
Saint Lucia,,,95,47,56,59,,,,,100,99,90,90,74,75,95,90,100,107
Saint Vincent and the Grenadines,,,103,56,93,93,106,103,94,94,,,,,88,89,,,,106
Samoa,99,99,69,29,39,42,107,107,96,96,88,89,92,89,66,68,,,97,109
San Marino,,,114,50,106,108,94,93,93,92,,,95,98,91,94,,,103,
Sao Tome and Principe,97,96,85,28,52,56,118,111,96,94,94,94,,,50,60,46,57,,107
Saudi Arabia,99,99,158,74,17,18,108,111,97,98,,,,,76,70,,,,104
Senegal,61,51,99,26,14,16,78,87,68,75,53,55,56,60,39,42,27,30,108,106
Serbia,100,100,121,67,59,58,101,101,96,96,99,99,100,97,97,97,97,96,97,108
Seychelles,99,99,161,57,88,93,101,104,94,96,,,,,,,,,,113
Sierra Leone,65,51,98,12,10,11,127,128,99,99,74,78,48,48,31,29,36,36,101,102
Singapore,100,100,147,81,,,,,,,,,,,,,,,,105
Slovakia,,,128,80,95,93,100,99,,,,,99,99,,,,,101,110
Slovenia,,,115,75,95,92,99,99,97,98,,,99,99,95,97,,,100,107
Solomon Islands,,,70,11,100,100,115,114,70,71,65,68,68,78,23,25,,,114,104
Somalia,,,58,2,,,,,,,24,19,,,,,,,,106
South Africa,99,99,142,54,77,78,102,97,,,97,97,,,,,,,,112
South Sudan,44,30,25,16,10,10,75,53,35,27,26,21,,,1,1,6,3,,104
Spain,100,100,110,81,97,96,104,106,99,100,,,97,98,,,,,100,107
Sri Lanka,98,99,118,32,93,93,103,101,98,96,,,99,99,96,96,,,100,109
State of Palestine,99,99,77,61,53,52,94,94,90,91,99,99,94,99,83,87,92,97,105,105
Sudan,69,63,69,28,36,48,74,67,52,55,69,67,80,79,,,31,32,99,105
Suriname,98,97,146,45,90,97,124,121,93,94,95,96,85,98,50,61,46,61,115,109
Swaziland,92,95,76,29,25,26,118,108,80,79,97,98,72,77,20,31,33,48,107,112
Sweden,,,127,92,94,94,121,126,99,99,,,99,100,,,,,100,104
Switzerland,,,136,89,105,104,104,104,93,93,,,,,87,87,,,,105
Syrian Arab Republic,95,90,54,32,6,6,81,79,67,66,97,96,93,93,53,52,,,101,120
Tajikistan,100,100,107,20,12,10,100,98,97,98,85,86,99,99,98,95,86,84,101,109
Thailand,98,98,173,48,74,64,106,99,94,87,95,95,,,79,79,83,86,,111
The former Yugoslav Republic of Macedonia,,98,101,72,36,36,94,93,91,91,98,98,97,96,78,76,86,85,99,105
Timor-Leste,80,79,125,25,18,20,137,136,94,97,71,73,81,84,39,48,30,34,103,105
Togo,90,78,75,11,17,18,125,118,94,88,90,87,55,53,,,45,40,96,103
Tokelau,,,0,1,175,160,121,,,,,,,,,,,,,
Tonga,99,100,75,40,39,38,109,107,92,94,93,93,,,78,84,,,,109
Trinidad and Tobago,,,161,73,,,,,,,98,98,,,,,,,,110
Tunisia,97,96,126,51,44,44,116,113,,,98,98,93,95,80,85,76,85,103,106
Turkey,100,99,97,58,30,28,103,102,95,94,94,97,88,88,88,86,,,99,109
Turkmenistan,,,158,18,64,62,90,89,,,98,98,,,,,98,98,,111
Turks and Caicos Islands,,,100,0,,,,,,,,,,,,,,,,
Tuvalu,,,76,46,96,93,103,104,84,85,97,99,,,73,77,,,,
Uganda,86,82,55,22,11,12,109,111,92,95,86,87,21,22,,,15,20,103,108
Ukraine,100,100,133,52,86,84,103,105,95,97,100,100,68,68,91,91,98,98,100,115
United Arab Emirates,94,97,204,91,83,84,117,116,94,93,,,91,93,76,83,,,103,103
United Kingdom,,,122,95,88,88,108,108,100,100,,,,,96,96,,,,105
United Republic of Tanzania,87,85,74,13,31,32,80,83,79,81,78,83,62,71,,,25,31,115,106
United States,,,127,76,72,70,100,100,93,94,,,,,87,90,,,,106
Uruguay,99,99,149,66,88,89,110,107,94,94,97,98,99,100,68,73,75,77,101,110
Uzbekistan,100,100,77,47,26,26,106,101,96,93,,,99,100,94,92,,,101,108
Vanuatu,,,71,24,103,100,121,119,85,87,76,78,,,42,48,,,,106
Venezuela (Bolivarian Republic of),98,99,87,60,75,76,101,99,90,90,91,93,90,90,69,74,,,100,112
Viet Nam,97,97,128,47,84,82,109,108,,,98,98,94,98,93,95,89,92,104,113
Yemen,,,67,25,1,1,106,89,92,78,80,72,72,67,47,34,43,34,93,105
Zambia,91,87,75,26,,,103,104,86,88,86,88,57,54,31,30,46,51,94,108
Zimbabwe,88,93,83,23,42,43,101,99,85,86,94,96,75,78,33,41,48,63,104,106
