Countries and areas,Life expectancy: females as a % of males,Adult literacy rate: females as a % of males,"Enrolment ratios: 
females as a % of males Primary GER","Enrolment ratios: 
females as a % of males Secondary GER", Demand for family planning satisfied with modern methods (%) ,Antenatal care (%) At least one visit,Antenatal care (%) At least four visits,Delivery care (%) Skilled birth attendant,Delivery care (%) Institutional delivery,Delivery care (%) Csection,Postnatal health check (%)+ For newborns,Postnatal health check (%)+For mothers,Maternal mortality ratio† Reported,Maternal mortality ratio† Adjusted,Lifetime risk of maternal death (1 in:),Survival rate to the last grade of primary: females as a % of males
Cabo Verde,106,89,95,112,73,98,72,92,76,11,,,10,42,900,101
Cambodia,106,80,99,,56,95,76,89,83,6,79,90,170,161,210,134
Cameroon,104,83,90,86,40,83,59,65,61,2,69,65,780,596,35,104
Canada,105,,101,100,,100,99,100,98,26,,,11,7,"8,800",
Central African Republic,107,48,74,51,29,68,38,40,53,5,,,540,882,27,96
Chad,105,45,77,46,18,55,31,20,22,1,5,16,860,856,18,85
Chile,107,100,97,101,,,,100,100,50,,,14,22,"2,600",101
China,104,95,100,103,97,97,69,100,100,41,,,20,27,"2,400",
Colombia,110,100,97,107,84,97,90,99,99,46,7,1,54,64,800,106
Comoros,105,75,93,107,28,92,49,82,76,10,14,49,170,335,66,121
Congo,105,84,107,87,39,93,79,94,92,5,86,80,440,442,45,
Cook Islands,,,94,108,,100,,100,100,,,,0,,,94
Costa Rica,106,100,99,104,89,98,90,99,99,22,,,28,25,"2,100",101
Côte d'Ivoire,106,73,89,72,31,91,44,59,57,3,34,70,610,645,32,95
Croatia,109,99,100,105,,,92,100,,21,,,3,8,"7,900",99
Cuba,105,100,95,105,88,99,98,99,100,40,98,99,42,39,"1,800",100
Cyprus,106,99,100,99,,99,,,97,,,,,7,"9,400",99
Czechia,108,,100,101,86,,,100,100,20,,,1,4,"14,800",100
Democratic People's Republic of Korea,110,,,101,90,100,94,100,95,13,,,77,82,660,
Democratic Republic of the Congo,105,75,91,62,16,88,48,80,80,5,8,44,850,693,24,99
Denmark,105,,98,104,,,,,,21,,,,6,"9,500",100
Djibouti,105,,91,82,,88,23,87,87,11,,,380,229,140,88
Dominica,,,98,99,,100,,100,,,,,110,,,95
