Countries and areas,Adolescent population Aged 10-19 (thousands),Adolescent population Proportion of total population (%),Adolescents currently married/ in union male,Adolescents currently married/ in union female,Births by age 18 (%),Adolescent birth rate,Justification of wife-beating among adolescents  male,Justification of wife-beating among adolescents female,Use of mass media among adolescents (%) male,Use of mass media among adolescents (%) female,Lower secondary school gross enrolment ratio,Upper secondary school gross enrolment ratio,Comprehensive knowledge of HIV among adolescents (%) male,Comprehensive knowledge of HIV among adolescents (%) female,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Afghanistan,"8,587",25,3,17,20,90,71,78,70,52,67,43,4,1,,104
Albania,446,15,1,8,3,18,  37 ,  24 ,  97 ,  99 ,101,89,21,36,101,105
Algeria,"5,942",15,    ,3,1,12,    ,  55 ,    ,    ,132,63,    ,7,102,103
Andorra,    ,    ,    ,    ,    ,5,    ,    ,    ,    ,    ,    ,    ,    ,99,
Angola,"6,486",23,2,18,38,191,24,25,84,77,36,21,29,31,,110
Anguilla,    ,    ,    ,    ,    ,46,    ,    ,    ,    ,    ,    ,    ,    ,,
Antigua and Barbuda,17,17,    ,    ,    ,67,    ,    ,    ,    ,117,82,55,40,,107
Argentina,"7,020",16,    ,    ,12,70,    ,  2 ,    ,    ,128,85,    ,36,100,110
Armenia,356,12,0,5,1,23,  25 ,  9 ,  88 ,  92 ,88,90,9,15,99,109
Australia,"2,897",12,    ,    ,    ,14,    ,    ,    ,    ,112,186,    ,    ,,105
Austria,873,10,    ,    ,    ,8,    ,    ,    ,    ,100,100,    ,    ,101,106
Azerbaijan,"1,358",14,    ,9,4,47,    ,  24 ,    ,  98 ,91,    ,2,3,95,109
Bahamas,55,14,    ,    ,    ,40,    ,    ,    ,    ,    ,    ,    ,    ,,108
Bahrain,158,11,    ,    ,    ,15,    ,    ,    ,    ,101,103,    ,    ,97,103
Bangladesh,"32,575",20,    ,44,36,83,    ,29,    ,54,83,48,    ,12,,105
Barbados,37,13,    ,1,7,49,    ,  5 ,    ,  98 ,107,113,    ,66,,107
Belarus,904,10,1,7,3,22,  3 ,  3 ,    ,    ,102,119,53,51,100,116
Belgium,"1,253",11,    ,    ,    ,8,    ,    ,    ,    ,185,158,    ,    ,102,106
Belize,78,21,11,21,17,64,8,6,92,92,91,60,    ,39,98,108
Benin,"2,440",22,1,16,19,98,19,31,68,57,70,38,29,22,95,105
Bhutan,148,19,    ,15,15,28,    ,  70 ,    ,    ,96,69,    ,22,101,101
Bolivia (Plurinational State of),"2,216",20,4,13,20,89,    ,  17 ,  100 ,  97 ,96,81,24,20,101,108
Bosnia and Herzegovina,410,12,0,1,    ,11,  5 ,  1 ,  100 ,  100 ,    ,    ,41,42,101,107
Botswana,431,19,    ,    ,    ,39,    ,    ,    ,    ,91,    ,    ,    ,103,109
Brazil,"33,760",16,1,4,    ,65,    ,    ,    ,    ,106,91,    ,    ,,110
British Virgin Islands,    ,    ,    ,    ,    ,27,    ,    ,    ,    ,111,80,    ,    ,,
Brunei Darussalam,70,16,    ,    ,    ,17,    ,    ,    ,    ,105,93,    ,    ,97,104
Bulgaria,620,9,    ,2,5,43,    ,    ,    ,    ,90,108,    ,    ,100,110
Burkina Faso,"4,306",23,2,32,28,136,  40 ,  39 ,  61 ,  55 ,47,13,31,29,114,102
Burundi,"2,243",21,1,9,11,65,  56 ,  74 ,  83 ,  69 ,54,25,50,46,118,107
