Countries and areas,Attendance in early childhood education total,Attendance in early childhood education male,Attendance in early childhood education female,Attendance in early childhood education poorest 20%,Attendance in early childhood education richest 20%,Adult support for learning total,Adult support for learning male,Adult support for learning female,Adult support for learning poorest 20%,Adult support for learning richest 20%,"Father's support for learning++
20052016*",Learning materials at home (books) total,Learning materials at home (books) poorest 20%,Learning materials at home (books) richest 20%,Learning materials at home (playthings) total,Learning materials at home (playthings) poorest 20%,Learning materials at home (playthings) richest 20%,Children with inadequate supervision total,Children with inadequate supervision male,Children with inadequate supervision female,Children with inadequate supervision poorest 20%,Children with inadequate supervision richest 20%,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Guatemala,,,,,,,,,,,,,,,,,,,,,,,99,109
Guinea,,,,,,,,,,,,,,,,,,,,,,,97,102
Guinea-Bissau,13,13,14,3,46,34,41,28,33,51,0,1,0,3,31,24,46,31,31,31,27,38,,106
Guyana,61,63,59,45,76,87,85,90,82,94,16,47,25,76,69,65,70,5,5,5,10,1,105,107
Haiti,,,,,,,,,,,,,,,,,,,,,,,,107
Holy See,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,19,17,21,13,28,48,47,49,28,75,59,11,1,34,78,74,81,4,5,4,8,2,110,107
Hungary,,,,,,,,,,,,,,,,,,,,,,,100,110
Iceland,,,,,,,,,,,,,,,,,,,,,,,102,104
India,,,,,,,,,,,,,,,,,,,,,,,99,105
Indonesia,17,16,18,,,,,,,,,,,,,,,,,,,,,106
Iran (Islamic Republic of),20,19,22,,,70,69,70,,,60,36,,,67,,,15,15,15,,,99,103
Iraq,4,4,4,1,10,58,58,59,40,78,55,5,1,16,34,34,32,8,8,7,9,8,,107
Ireland,,,,,,,,,,,,,,,,,,,,,,,,105
Israel,,,,,,,,,,,,,,,,,,,,,,,98,104
Italy,,,,,,,,,,,,,,,,,,,,,,,100,106
Jamaica,92,92,91,88,100,88,86,90,76,86,28,55,34,73,61,64,56,2,2,2,2,1,103,107
Japan,,,,,,,,,,,,,,,,,,,,,,,100,108
Jordan,22,21,23,11,39,82,81,83,75,87,72,23,11,40,70,68,74,9,9,9,11,8,,105
Kazakhstan,55,53,58,45,70,86,84,87,83,95,7,51,35,73,60,63,61,5,4,6,8,3,101,115
Kenya,,,,,,,,,,,,,,,,,,,,,,,,108
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,110
Kuwait,,,,,,,,,,,,,,,,,,,,,,,101,103
Kyrgyzstan,23,23,23,12,50,72,74,70,63,73,3,27,15,54,59,63,54,5,5,4,6,5,100,112
Lao People's Democratic Republic,23,21,25,5,73,57,58,57,42,87,52,5,1,24,41,29,50,14,15,13,20,8,104,105
Latvia,,,,,,,,,,,,,,,,,,,,,,,100,114
Lebanon,62,63,60,,,56,58,54,,,74,29,,,16,,,9,8,10,,,108,105
Lesotho,,,,,,,,,,,,,,,,,,,,,,,129,109
Liberia,,,,,,,,,,,,,,,,,,,,,,,,103
Libya,,,,,,,,,,,,,,,,,,,,,,,,108
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,100,115
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,103,106
Madagascar,,,,,,,,,,,,,,,,,,,,,,,105,105
Malawi,39,37,41,26,67,29,29,30,22,44,3,1,0,6,45,35,66,37,37,37,39,28,102,109
Malaysia,53,52,55,,,25,25,24,,,,56,,,62,,,3,3,3,,,101,106
Maldives,,,,,,,,,,,,,,,,,,,,,,,106,103
Mali,5,6,5,1,21,55,55,55,53,65,5,0,0,2,52,42,70,32,32,32,31,27,94,102
Malta,,,,,,,,,,,,,,,,,,,,,,,104,104
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,12,,,,,44,,,,,5,1,−,−,33,,,34,,,,,98,105
Mauritius,,,,,,,,,,,,,,,,,,,,,,,99,110
Mexico,60,58,62,58,71,76,71,80,62,94,14,35,15,64,76,74,85,5,5,5,8,3,102,107
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,103
Monaco,,,,,,,,,,,,,,,,,,,,,,,,
