,Country,% Internet Use,% Women in Govt,G to B in Primary Ed,G to B Secondary Education,G to B Tertiary Education,Population mid-year estimates (millions),Population mid-year estimates for males (millions),Population mid-year estimates for females (millions),Sex ratio (males per 100 females),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Surface area (thousand km2),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP in constant 2010 prices (millions of US dollars),GDP real rates of growth (percent),Survival rate to the last grade of primary: females as a % of males
126,Peru,48.7,27.7,1.00,1.00,,31.38,15.67,15.70,99.8,27.9,10.0,24.5,"1,285","189,924","6,053","186,291",3.3,103.25345744388326
127,Philippines,60.1,29.5,,,,101.72,51.24,50.48,101.5,32.2,7.3,341.1,300,"292,774","2,878","266,056",6.1,
128,Poland,76.0,28.0,1.01,0.97,1.51,38.27,18.48,19.78,93.4,14.9,22.6,125.0,313,"477,577","12,481","556,361",3.8,100.11050693470906
129,Portugal,73.8,34.8,0.97,0.97,1.12,10.42,4.94,5.48,90.0,14.1,27.0,113.8,92,"199,420","19,141","228,052",1.8,
130,Qatar,95.9,9.8,0.99,1.17,7.37,2.48,1.87,0.61,306.6,13.8,2.3,213.7,12,"164,641","66,347","166,430",3.6,96.88450801717921
131,Republic of Korea,95.1,17.0,,,,50.59,25.32,25.27,100.2,13.9,18.4,520.4,100,"1,382,764","27,331","1,268,781",2.8,100.26433062700733
132,Republic of Moldova,76.1,22.8,,,,4.07,1.95,2.11,92.5,15.7,16.5,123.8,34,"6,513","1,602","7,034",-0.4,100.15969391489195
133,Romania,63.7,20.7,0.99,0.99,1.24,19.88,9.63,10.24,94.0,15.4,23.9,86.4,238,"177,913","8,951","191,009",4.0,100.47372379277004
134,Russian Federation,76.0,15.8,1.01,0.99,1.20,143.89,66.85,77.04,86.8,16.8,20.1,8.8,"17,098","1,368,402","9,510","1,663,126",-2.5,101.42234699424732
135,Rwanda,21.8,61.3,1.00,1.10,0.76,11.63,5.70,5.93,96.2,40.8,4.6,471.4,26,"8,278",712,"8,307",8.9,118.15831329902228
136,Saint Kitts and Nevis,80.7,13.3,,,,0.05,,,,,,208.8,0,865,"15,937",840,4.0,98.04776406874508
137,Saint Lucia,50.8,16.7,,1.01,1.95,0.18,0.09,0.09,96.0,19.7,13.1,290.5,1,"1,622","9,156","1,439",-0.9,99.56729293367724
138,Samoa,33.6,10.0,1.01,1.10,,0.19,0.10,0.09,106.6,37.2,8.0,68.5,3,774,"3,995",725,2.9,97.15199532838488
139,San Marino,60.2,26.7,,,,0.03,,,94.9,15.0,24.1,549.3,0,"1,570","47,627","1,729",0.5,103.38669110047772
140,Sao Tome and Principe,29.9,18.2,0.95,1.13,,0.20,0.10,0.10,99.2,43.4,4.3,203.7,1,316,"1,613",247,3.9,
141,Saudi Arabia,82.1,19.9,0.98,,1.00,31.56,17.89,13.66,130.9,26.0,5.2,14.7,"2,207","654,270","20,733","678,730",4.1,
142,Senegal,29.6,41.8,1.12,1.01,0.60,14.98,7.35,7.63,96.4,43.1,4.7,77.8,197,"17,761","1,186","20,351",6.4,107.6435315309137
143,Serbia,70.3,34.4,1.00,1.01,1.31,8.85,4.33,4.53,95.6,16.7,23.8,101.2,88,"37,160","5,237","40,184",0.8,96.65741
144,Seychelles,58.8,21.2,0.99,1.07,1.85,0.09,0.05,0.05,98.2,21.7,12.4,203.8,0,"1,377","14,695","1,232",4.9,
145,Sierra Leone,13.2,12.4,1.01,0.91,,7.24,3.58,3.66,98.0,42.7,4.1,100.3,72,"4,248",587,"3,168",-20.5,100.67155505957072
146,Singapore,84.4,23.0,,0.99,,5.54,2.73,2.80,97.6,15.5,17.9,"7,907.5",1,"304,092","54,937","292,165",2.2,
147,Slovakia,81.6,20.0,,,,5.44,2.64,2.80,94.6,15.3,20.7,113.1,49,"87,770","16,136","101,628",4.2,100.63544492447414
148,Slovenia,78.9,36.7,,,,2.07,1.03,1.05,98.5,14.7,25.1,103.0,20,"43,102","20,774","48,978",2.3,100.02509299301646
149,Solomon Islands,11.9,2.0,0.99,,,0.59,0.30,0.29,103.4,39.6,5.2,21.0,29,"1,059","1,803",849,2.5,114.35391228883356
150,Somalia,2.0,24.4,,,,13.91,6.93,6.98,99.3,46.7,4.3,22.2,638,"1,455",105,"1,257",2.7,
151,South Africa,56.2,42.4,,,,55.29,27.15,28.14,96.5,29.3,8.0,45.6,"1,221","317,536","5,743","418,897",1.3,
152,South Sudan,8.0,28.5,,,,11.88,5.95,5.93,100.3,42.1,5.1,19.4,659,"13,408","1,128","12,556",5.1,
153,Spain,84.6,39.1,1.01,1.01,1.19,46.40,22.77,23.63,96.4,14.9,24.4,93.0,506,"1,199,084","25,844","1,420,987",3.6,100.28627470244635
154,Sri Lanka,34.1,5.8,0.98,1.03,1.55,20.71,9.98,10.74,93.0,24.6,13.9,330.3,66,"80,604","3,891","76,486",5.0,100.22436429946922
155,State of Palestine,65.2,,1.00,1.10,1.59,4.66,2.36,2.30,102.9,40.1,4.5,774.6,6,"12,673","2,718","11,238",3.4,104.78086364960073
156,Sudan,30.9,30.5,,,,,,,,,,,,"83,085","2,150","57,686",3.0,99.1824879865972
157,Suriname,48.9,25.5,1.00,,,0.55,0.28,0.28,100.9,26.9,9.9,3.5,164,"4,826","8,725","4,773",-2.6,115.06632936905616
158,Sweden,96.4,43.6,,,,9.76,4.88,4.88,99.9,17.3,25.2,23.8,439,"498,118","51,018","543,061",4.5,100.29147416198288
159,Switzerland,93.7,32.5,0.99,0.96,1.02,8.32,4.12,4.20,98.0,14.8,23.5,210.5,41,"679,832","81,713","634,045",1.3,
160,Syrian Arab Republic,34.3,13.2,,,1.19,18.74,9.48,9.26,102.3,38.1,6.4,102.0,185,"19,090","1,019","27,492",-6.1,100.55747367859118
161,Tajikistan,22.0,19.0,0.99,,0.71,8.55,4.30,4.25,101.1,35.1,5.5,61.1,143,"7,855",919,"7,547",6.0,100.55863716939358
162,Thailand,52.9,4.8,,,,68.66,33.53,35.13,95.4,18.0,15.6,134.4,513,"401,399","5,846","394,078",3.0,
163,Togo,12.4,17.6,0.95,,0.43,7.42,3.70,3.72,99.3,42.0,4.5,136.4,57,"4,178",563,"4,616",5.7,96.02114876405797
164,Tonga,41.2,7.4,,,,0.11,0.05,0.05,100.6,36.7,8.1,147.7,1,402,"3,778",398,3.7,
165,Trinidad and Tobago,77.3,31.0,,,,1.36,0.67,0.69,97.4,20.8,14.2,265.1,5,"24,402","17,942","22,784",1.5,
166,Tunisia,55.5,31.3,0.97,1.11,1.71,11.27,5.57,5.70,97.7,23.7,11.7,72.6,164,"43,152","3,828","47,587",1.2,102.54501468049784
167,Turkey,64.7,14.6,,,,78.27,38.50,39.77,96.8,25.6,11.5,101.7,784,"859,794","10,985","1,087,840",6.1,99.41743743869662
168,Turkmenistan,21.3,25.8,,,,5.57,2.74,2.83,97.0,30.4,6.8,11.8,488,"36,052","6,478","37,230",6.5,
169,Tuvalu,49.3,6.7,,,,0.01,,,,,,366.7,0,35,"3,185",38,9.2,
170,Uganda,23.7,34.3,1.03,,,40.14,19.96,20.18,98.9,48.2,3.3,200.9,242,"25,098",625,"24,893",5.7,102.5379841866688
171,Ukraine,57.1,12.3,,,,44.66,20.64,24.02,85.9,15.1,22.5,77.1,604,"91,031","2,038","121,203",-9.8,99.87238827015128
172,United Arab Emirates,94.8,22.5,0.97,0.94,1.99,9.15,6.69,2.46,272.2,13.8,2.0,109.5,84,"358,135","39,122","373,073",5.1,102.59655988380992
173,United Kingdom,94.6,32.0,,,,65.40,32.23,33.17,97.2,17.6,23.5,270.3,242,"2,896,421","44,290","2,719,581",2.3,
174,Uruguay,68.3,20.2,,,,3.43,1.66,1.78,93.3,21.4,19.1,19.6,174,"53,274","15,525","47,559",0.4,100.72452048314322
175,Uzbekistan,52.3,16.0,0.99,0.99,0.65,30.98,15.43,15.54,99.3,28.1,7.1,72.8,449,"66,904","2,160","58,274",7.9,101.04686666891571
176,Vanuatu,25.7,0.0,,,,0.26,0.13,0.13,102.6,36.5,6.5,21.7,12,760,"2,871",754,0.2,
177,Viet Nam,49.6,26.7,1.00,,1.24,93.57,46.28,47.29,97.9,23.1,10.3,301.8,331,"193,241","2,065","154,509",6.7,104.3420914666529
178,Yemen,26.7,0.0,0.87,0.73,,26.92,13.60,13.32,102.1,40.6,4.5,51.0,528,"26,660",990,"17,313",-30.3,92.89120760599128
179,Zambia,27.9,18.0,,,,16.10,7.99,8.11,98.5,45.4,3.7,21.7,753,"21,243","1,319","26,058",2.9,93.88202336076324
180,Zimbabwe,27.1,33.2,,,,15.78,7.68,8.10,94.8,41.5,4.2,40.8,391,"16,305","1,033","14,728",1.7,103.8875007071182
